YearMonth,MonthlyRevenue
2009-12,686654.1599999949
2010-01,557319.0620000134
2010-02,506371.0660000071
2010-03,699608.9909999889
2010-04,594609.1919999976
2010-05,599985.7900000132
2010-06,639066.5800000058
2010-07,591636.7400000109
2010-08,604242.6499999989
2010-09,831615.0009999905
2010-10,1036679.9999999215
2010-11,1172336.042000025
2010-12,884591.8899999922
2011-01,569445.0400000077
2011-02,447137.3500000165
2011-03,595500.7600000072
2011-04,469200.3610000132
2011-05,678594.5600000018
2011-06,661213.6900000111
2011-07,600091.0110000141
2011-08,645343.9000000092
2011-09,952838.3819999965
2011-10,1039318.7900000296
2011-11,1161817.3799999936
2011-12,518210.7900000037
